"","p_cntrl7291","p_cncr8189","p_cntrl2338","p_cncr4009","p_cncr4149","p_cncr8106","p_cncr7486","p_cncr3370","p_cntrl7734","p_cncr4167","p_cntrl3474","p_cncr7831","p_cntrl3963","p_cncr7735","p_cncr5687","p_cncr8514","p_cntrl9441","p_cncr4667","p_cntrl1189","p_cntrl5569","p_cncr3070","p_cncr7179","p_cncr9820","p_cntrl1085","p_cntrl2636","p_cncr5196","p_cncr8934","p_cncr2543","p_cncr8186","p_cncr2876"
"01100110100111100111",3986,0,6499,0,0,0,1,2,3,0,1247635,0,608,0,0,0,36245206,12,195,612,0,0,0,187953,26692,7,0,1,11,181
"01101101111111101010",189007,173426,4605,58444925,189144,628359,29700,15692331,208,196122,395459,10317,9925,29631,41378,286547,84834,62945,254154,56412,2033,26399,6742,203,299264,112480,5463,6116,548949,1580679
"11110110000111001010",49644,320536,110216,4789,4189,49723,189756,1583552,13905,1593,133513,1951,23487,875131,71905,6479,4164961,75831,3025,47221,1133209,16730545,185927,31003,341450,1442394,21863,106361,128521,1007428
"00100111110100010010",24,0,4,1829,51,561,83,1,1,63,21072,13,1,0,1,5,7345,78721,19,26,3,146,1,92249,47573,898617,168,1,2610,718117
"01101111011110001110",80,0,2,0,0,0,0,0,0,0,13142,0,0,0,0,0,5350,0,0,104,0,0,0,32290,821,52,1,0,0,2468
"11111100011100110001",489491,81602,76556,203583,262341,9036,1360,1741,1190969,544568,17487,15007,11136,65479,3478302,1063108,37663,2717,30665,1140475,1935,9075,16138,67844,1342720,98308,1414,73963,532338,2128907
"00000111000001100100",69286,4416696,89040,5121,16012,2270,2538,57983,4263,9428,325562,1608,37608,2332,8631,548,36697,1197859,91992,15643,22708,125967,2453148,44051,149005,358217,176704,878241,19588,21418
"11111010011111111011",4714,9489,77086,873230,3059,27758,51534,121585,12312,188164,375898,10396,48338,543,11399439,366175,509610,184805,26732,960654,11041,313733,19959,2608,2127466,799711,1938,36156,3095207,5975572
"00111101011110111100",14240,0,3576,1,3,0,0,0,0,2,14258,0,3,0,8,1,36170,0,2,605444,0,0,0,2587,2580,13,9,0,26,10092
"00110000011000011101",2490,0,59527,0,0,0,8,0,9,0,9808,0,11,0,15,0,995895,1,0,1332255,0,0,0,102513,4134,11,18,0,2,346
"00001110010010011101",21583,214383,721921,1006,10671,96740,2570,9638,88547,38746985,214304,4040378,12445,2232,414009,755196,223179,783426,27607,3727840,180,54069,926863,815276,125613,8496,2743,277047,967,330211
"00011001000110111010",1848,150833,4637,8342,373072,131278,1644,32224,7589,315291,43399,72099,90773,588933,485286,391746,13229,257933,216113,271772,8898,18899,161820,35242,35096,173998,444664,700,75954,18105241
"10010001001101000010",236,4,7,12352,5087,0,535,1,3,0,132,0,4,1,35,0,271,7033,1,78,76,20,12,71135,71850,29110197,41360,0,2536,559961
"01110111001000110001",95467,15529,385263,718,3757,9312,812,5774,1653220,7814,44151,8606,735,16798,3015994,3302,341580,23368,38916,266293,17587,6926,65825,34852,100489,14329,1219,1310524,24787,26026
"01100101011100111110",4422,0,581,2,0,0,1,1,0,0,148220,0,39,0,3,0,876510,0,6,43938,0,0,0,14015,11698,13,156,0,344,1100
"10000000101011101111",480,169702,98390,379705,317930,860,1180026,219840,12064,18384,66451,27775,794610,99,89292,90608,6309,1599734,383419,159246,36368,8154,4518043,49958,2639628,88961,615397,597161,17386,19392
"00100110010001010001",15437,17349,909561,3471,430,6175,81171,10517,24071,815774,255209,238028,3511,532,142663,6776,44134471,496997,6068,239596,803,4551352,256545,20817,446904,184941,194,3896306,52614,398999
"10000010010011010110",447,29723,640579,7418,11379,6823,1448477,21653,17669,52745,623685,580485,4982884,50,142729,2036,48448,2084141,250869,21058,25650,10020973,2650967,110604,442526,140770,13202,93012,114530,361934
"01011001101011101011",38652,856660,11362,394512,833578,10193,60879,4527117,130373,7276,231415,3029,109098,11383,2276982,134714,17223,223523,602234,97135,310103,984,54073,1799,28072,13763,3978,125296,11579,100880
"00111000100111100101",5821,0,20903,0,8,0,0,1,2,0,36239,0,631,0,1,1,300281,6,44,9226,0,0,0,55082,10253,10,1,0,5,3027
"10101100100101001011",13790,288670,37666,1901239,360714,304474,976258,77082,38198,62938,402366,11142,196620,2356012,7008,36385,624742,8330,55371,355558,95707,1624923,6314,3893,3178828,41439,109094,100493,992123,635364
"00101001101101110110",609,0,1392,28,6,0,3,0,0,0,610624,0,4435,0,1,0,52203,0,883,6122,0,0,0,860,13720,0,121,0,9227,761
"00011001100101000101",3213,99,63,6049,11475,4,2,0,12,7,257,0,7,0,6,72,264,46103,37,239,8,2,7,1577370,50159,460460,83,3,33,238718
"00101001101010000101",3,0,117,0,0,0,0,0,0,0,363,0,0,0,0,0,164,0,0,45,0,0,0,77271,721,0,0,0,0,190
"11100011001011111011",44,1875,999396,46359,239,44835,191947,314424,64506,2228,209255,6397,79554,1319,11000018,1429,679936,52646,122740,95050,18742,148594,150870,832,1599344,14561,12041,322691,3733618,158414
"11101111110001110010",1437,52246,9605,888114,24102,1263500,141596,412015,151391,7159,122973526,26188,8078221,26879,122798,3752,14163,35438,7077827,2581,859011,2839734,4716,60,163182,4306,430,485618,87477196,292639
"00010111111101111100",1556496,505818,4091,360845,28119,21090,26878,109756,44,263749,118947,474,2524,1207,46781,165987,50717,12768627,32402,130008,1120,25604,51627,23462,154933,798910,14511,514021,54782,15480
"11110110001001010110",4023,0,14835,0,0,0,37,0,170,0,1524312,0,1662,0,21,0,1367362,0,8,15692,0,2,0,9250,3325,1,7,0,939,54
"10100010011010110000",186,2443,807104,1706,3123,22051,54117,49644,8302,253253,61140,124510,49429,77,988344,69340,7755,364835,10779,25790,11987,744111,417827,19700,622864,123691,81009,506987,542354,484155
"01100010110000101110",181,0,437,0,0,0,120,185,1,0,41532423,0,8235,0,0,0,115890,30,6,474,0,0,0,42638,2122,15,347,0,42,83
"01101110101000001011",110802,25401,49557,23097,34507,1314512,905304,507121,797099,7941,4014865,85337,16820,302971,88896,8742,295428,11361,38693,457071,398726,116590,2196,21434,138405,1096,128366,230597,33648,9844
"00000011001100110011",7892,2814,37990,25769,14240,36552,76600,621,20790,188382,41732,6695,12779,1890,638790,416,272075,212707,126161,58134,3965,5176,8026,312459,808438,109616,1278908,13720,100501,69577
"01101001011101011011",48,0,28,379420,12,29,116,5,1,11,1555,1,1,0,594,25,81861,2647,3,5100,0,10,1,9846,300394,730426,121,0,32374,11876944
"00100000010111110000",1527,25788,194168,24269,2347,10390,7868,76009,83,2186938,7850,323258,21808,206,124418,1190687,2574699,2754412,35285,23908,76,1681451,1539711,61040,997509,2990132,2647,33692,337679,41225510
"01001110111000110000",279032,278008,2572,8182,79366,370615,67927,217606,101743,535869,5405273,19409,216353,5746,1359376,242944,11948,485945,404728,6428,49552,36391,7360,118205,15408,1621,7745,975489,345814,25059
"11110001111110000000",774,1,181,1919,1926,41,50,61,9,1,28,0,1,1,46,315,34,3094,1,7,48,3,2,318688,38501,585966,45,3,167,376824
"01111011011111010000",922,1,216,2731,20,64,2,10,1,21,536,0,0,0,1659,28,6969,20495,2,170,1,147,1,27193,16450,692494,2,0,4756,8178875
"01000000101101001010",404435,254409,4330,121526,55999,97701,100392342,6798256,1317,773,57423,890,164174,297288,78301,15774,1361675,277693,20156,6744,61303,273413,12232,516873,143092,62147,2289817,18818,129922,35355
"10000001000110011101",2,1,1314,79,70,21,3,0,15,65,8,2,4,1,166,197,965,15315,5,704,0,1,356,29454359,469261,133564,2334,1,115,983399
"11000011000011101001",1054,1334453,647861,1360,555,18387,56404,4994277,108726,4376,80267,264,222839,21565,3361965,17475,255216,318338,14392,2766,281698,28246,693227,30398,255104,53002,15621,9596072,72587,62027
"11001001010000110010",702,82566,8730,50029,228999,85547,116648,65958,2255642,6471,2411924,125525,33198036,224650,1315497,17345,636,8715,1808112,5353,99775,34466,63014,7784,68191,9076,74693,9630,5786932,1886245
"10101101001000101101",769,0,27684,1,3,0,0,0,74,0,81794,0,82,0,3,0,4687,0,1,368233,0,0,0,882,25129,1,1374,0,115,118
"00011110110101111000",279446,3451411,323,38931,30134,106489,28256,359019,241,4109023,3135093,1555,43121,26275,111743,5263530,354949,21214976,25785,47931,25402,750026,20934,18295,33508,843365,5666,1016162,523750,837454
"00100100101010010001",10219,6109,2299421,1589,130539,76627,31431,5782,272964,1593690,3453,1340000,2156,4637,349596,84076,742460,45851,136220,304513,1247,43338,123957,255961,224422,480,777,914435,2618,52777
"00101110011110001111",25124,0,17957,1,0,0,1,0,1,3,263375,0,4,0,1,0,2162097,1,0,926205,0,0,0,26547,25861,19,85,0,2,1061
"11100011000111010111",0,0,143,0,0,0,0,0,0,0,2146,0,0,0,0,0,283411,0,0,3,0,0,0,309541,13264,7,0,0,7,2275
"10001100100111110111",2732,636920,41041,1482655,3528524,39860,4882,585,100683,5958757,225040,150190,5001174,1751,99640,142153,36515,262784,63903936,123044,5533,46445,239734,170584,3629105,8079,2210,55165,334518,841932
"11101001010000011001",1,0,324,410,11,92,22,7,624,3,2095,6,18,17,933,426,649,436,2,706,1,9,14,37740,78264,26223,89,5,14413,4512915
"10111011111100100101",36945,0,16797,3,10,0,1,0,11,0,222942,0,346,0,1,0,663,0,3,5207,0,0,0,4036,22310,6,23,0,45,43
"11110101101111001011",215,1,44,49579,692,6,71,30,14,1,156,0,0,4,68,19,11027,2949,4,413,21,3,7,18359,200409,788941,21,7,407,259695
"11111110111100100110",140381,0,238,3,19,0,4,1,19,0,10678660,0,2917,0,1,0,2545,0,21,2604,2,0,0,11315,6910,11,50,0,313,101
"10101011010000010111",0,0,22,0,0,0,0,0,0,0,130501,0,1,0,0,0,455,0,0,67,0,0,0,9175,3377,6,0,0,7,2249
"10011010111101001101",3498078,1771247,134023,811539,336279,30080,1505347,114675,5849,91071,95716,303,72918,2769,83334,310903,6813,476206,2995,392276,117962,111651,3245,112019,1066376,238252,76937,746985,20583,12137
"10111111101011010000",21,2,163,994,1255,67,3,3,24,11,4622,0,2,0,320,3,121,7288,26,163,187,410,2,823,10309,9594,5,55,15313,210129
"10001110111011111010",825,131330,1477,739575,112757,77847,873707,818061,2241,2828814,18544621,7555,729440,466,852283,111705,12942,2760731,334613,55733,77230,583495,57558,357,119370,29730,29296,697261,5013892,225101
"01000000010001111101",5167,295302,94608,7944,508,670,66439,185842,14911,38481,89762,347608,251971,433,1119208,2468746,1533559,4296981,62133,218631,57,16505,22880420,1106987,544662,258594,4253,703111,34823,381414
"01010110011110010110",4421109,34057,71485,6759,95191,15991,27550,5158,30987,288526,34596,307141,6830,1065,377858,12444,226226,530933,86232,234119,2358,61381,171149,9466632,94338,193981,3367,4424,1086,133568
"00010110111111011011",385262,29952,9998,160478,33526,15176,1395990,61604,976,12062510,95202,14988,1111,421,486656,113630,17283748,11792247,13094,468967,3677,95488,21355,63916,148419,531240,414,463634,3388,107305
"00110101110101110110",4513,0,243,5,3,0,1,0,0,0,788708,0,456,0,0,0,563798,8,144,4434,0,0,0,1184,4569,82,0,0,171,1971
"00000110101000100111",61294,75986,17828,24326,398477,2880,96604,3843,112144,74324,1010830,121596,41906,128,8343,2713,11675,1571314,628053,125183,110447,3037,308060,801717,552941,52780,826385,807093,1223,1196
"11010011100100101000",83246,2398850,7550,627,23978,874169,262099,4370317,38066,287,122521,58,539951,12024007,102395,195347,3145,266884,11769,316,29207990,31103,8762,450340,50123,84402,997851,1622733,120475,12492
"00110011100110011100",1,0,9,0,0,0,0,0,0,0,638,0,0,0,0,0,7888,3,0,7,0,0,0,982593,216,10,0,0,0,693
"10111011001010000010",5,0,209,404,2502,12,9,2,111,0,3911,0,4,0,64,0,5,1323,2,438,1775,79,5,3178,19827,426330,8854,0,1096,842107
"11101011101001001101",3,0,32,0,0,0,0,0,0,0,26357,0,0,0,0,0,1195,0,0,10,0,0,0,6603,1995,0,0,0,10,15
"00001100000010001001",33637,2624204,241654,577,207673,25446,4677,100005,383790,3844474,18271,153142,6554,562925,278065,444449,306609,51884,5686,1087666,3848,15509,862627,395207,50487,10689,59938,231886,494,719864
"00111010111111011110",4422,0,2856,1,1,0,36,4,0,0,1324034,0,288,0,3,0,748868,18,5,61164,0,1,0,2664,2682,6,4,0,135,1456
"01101010001000110011",1386,1632,125152,7404,4532,85126,33676,5656,1484695,12448,2082742,413283,155782,1472,3220309,3949,165814,25589,500142,347210,29238,104246,17598,45855,444261,4366,101030,24968,1022501,259198
"11010110000100010111",278775,111150,201969,981,62928,17351,50175,172,13510724,8906,85135,53260,318245,193793,300377,1813,362738,31371,253964,162022,149156,105877,116991,34362925,742625,34877,11809,77274,11363,38588
"01101111011011111110",503,0,2672,3,0,0,0,16,0,0,12595488,0,191,0,32,0,695649,1,37,51318,0,0,0,74,2136,1,2,0,1326,1480
"00000001110000101001",6102,260490,16311,11244,36116,18522,236035,1500338,12082,131780,82648,72252,42186,24172,29006,2010204,14223,1466739,12515,12038,12462,718,266739,46972,89949,162133,96973,2887214,2239,48250
"01111101111010110000",144813,88010,48883,48519,1017563,218304,497,304999,167812,248523,102915,215540,12700,19661,1149288,1514566,1960,27476,1028692,64304,10458,6036,26311,1710,12424,1660,45,115422,45382,496615
"10110001110000111101",36,0,12196,0,0,0,3,1,32,0,148894,0,1881,0,3,1,8481,2,5,13174,0,0,0,4128,6303,3,3,5,39,181
"11101000000001100000",2199,1587592,178329,12682,28106,15853,32928,943923,248621,346,406070,3681,5410470,147598,255476,39265,12562,8630,88427,7446,475491,2845465,316160,6854,410262,38880,134586,216058,10696758,1823793
"10111110011011100110",2102,0,2962,3,6,0,0,1,3,0,6896812,0,536,0,2,0,8537,2,5,53799,0,0,0,90,6120,166,10,0,147,1492
"11010101110011001110",97,45,6,6036,1957,1,112,330,14,0,7371,1,41,1,9,108,95,121747,25,55,63,5,1195,42325,10432,1719719,13,17,58,185768
"01000001000001100100",45678,4038066,189487,5587,20345,2159,11718,487287,29391,200,43457,5360,696724,12052,64160,5751,18751,214564,321603,3981,12664,27687,4460957,282160,125552,77584,98385,118633,33239,67176
"10010001111111000100",1720,18,112,30886,14443,1,57,8,0,7,26,0,4,0,12,85,13,115509,4,27,6,3,32,393910,83907,4716251,114,4,54,128793
"10010101100101101110",57429,5468017,1932,809032,1988835,5307,76862,131572,2559,1859,167104,633,397876,473112,1784,26261,3295,436132,283968,40587,316360,35291,519800,13489,534558,1651644,749346,104648,98801,60461
"10000111100101111101",8516,705010,73929,72592,6984,204108,28222,9551,5254,169588,133797,503,154679,32127,63012,34130,192242,920532,375163,28985,6435,41417,64734,127473,2804977,20036,24490,5156009,513099,9856
"01000110100100111101",90793,348918,23461,773,1995,557546,13641,18299,35468,224795,166306,55277,66041,62743,129431,1396142,1383681,2638401,356915,34490,2761,8350,161371,66204573,543003,7362,28466,1596037,14204,10005
"10010111011100111100",262279,213903,19863,37713,41054,11494,7060,7826,1900,144128,25677,598,4018,23401,159211,62798,2073,330232,3911,453067,2028,9775,139099,97787,488937,1284774,771607,129182,88329,39296
"10100100010110101010",994,46113,13545,112458,41625,14594,30803,292870,834,673900,59728,351055,18603,60596,5569,757882,60504,160701,4877,131407,3999,178760,2166280,16525,2369014,16515810,1077297,18062,101533,13496067
"10101010001100001100",4960,0,46805,0,0,0,17,1,1,0,89816,0,403,0,1,0,23477,0,0,28433,0,1,0,83753,23292,2,98274,0,561,144
"00011101110001011111",72,6,2,37220,2628,1,14,1,18,63,38511,12,7,0,17,174,925,204701,101,10904,0,2,108,12470,14210,448936,5,5,133,632800
"01010101111011110010",101652,147042,2706,310275,614058,2477,63977,645339,23118,65513,271817,23583,57849,756,1309437,37661,56268,1207763,2691304,9701,20153,6368,289936,2250,11093,48189,42,205729,31904,157483
"11000100000101101001",80156,9428443,19882,22694,6941,2404,65959,297435,41073,30676,16753,133,63734,1004079,425716,204559,4147218,94034,5546,24486,8693,22352,787540,767180,1739869,776703,119137,1858173,218110,304437
"00101001101010111111",11,0,12855,1,2,0,1,0,11,0,358768,0,794,0,10,0,19495,0,368,140908,0,0,0,1363,5957,0,38,0,56,364
"11101001001100111011",1064,3881,101902,728213,27016,700036,43681,11986,350816,6171,50240,11694,158582,1347655,2895019,22132,27210,539,188599,685649,2814,9597,3444,8051,3818348,5510,1065159,1982,15910509,1139902
"01000001010101000101",3114,15,243,5754,42,1,15,3,4,4,80,0,2,0,22,27,14936,43282,3,53,0,1,94,13544431,233847,6064446,38,2,34,512496
"10001101000000001111",8,12,31,2975,4430,2,7,0,743,4,5653,2,19,16,8,4,33,1004,12,7488,5,1,212,140127,134675,178793,41290,1,198,291256
"01001110111101110000",2554514,891532,1625,363973,36246,399196,98238,237872,1773,1523863,1766635,542,108989,2883,1037118,165940,379361,1176428,340991,3956,7221,205552,1505,84212,88596,17342,2217,341255,3104020,101721
"11111010111010000101",30499,0,328062,0,4,0,6,4,1157,0,297632,0,1705,0,22,0,4724,0,4,4044,2,0,0,52305,2356,0,0,3,2,26
"10000000011101100100",180546,1005581,71238,1024990,191519,309,221231,38142,359,37737,6468,738,164550,206,31586,49014,4090,470184,9434,29791,1297,63008,816608,351200,5104112,8643641,2975142,51400,201977,188998
"00110000110001100101",2697,0,7042,0,1,0,3,2,2,0,257819,0,594,0,0,0,293851,39,4,5135,0,0,0,13766,5571,138,0,9,2,311
"10111111111011000111",12,0,8,1,0,0,0,0,0,0,62933,0,0,0,0,0,264,0,0,90,0,0,0,212,1195,26,0,0,0,199
"11101110110010001000",20795,479179,208957,2321,21057,9591451,180679,21477514,162526,59901,2206057,104216,263744,947022,69890,1174691,11963,30588,12265,8309,1312578,2076232,17401,13668,53955,2121,4630,2214777,88934,140815
"00111011110101010111",6,0,2,0,0,0,0,0,0,0,80045,0,0,0,0,0,19660,1,0,38,0,0,0,9770,1391,62,0,0,2,2784
"01111011100011010001",15,1,742,51,26,183,2,8,269,3,5808,1,8,0,1203,50,9695,37942,118,47,85,78,3,38279,5695,4378,0,65,709,616111
"01000011010011011100",10,3,215,42,1,15,23,125,1,4,2620,2,7,0,362,66,10272,1243071,4,48,0,52,946,938180,10902,366283,23,9,301,501794
"00101110111111100001",495277,180745,105130,2790146,70704,84762,4080,114851,460,54297746,164505,8142,1268,43,53508,390090,506207,952043,46683,88185,2940,74390,4566,5148,1526217,277410,531,814497,37584,372945
"11011010101011100101",149267,4778496,561761,22185,584783,6538,14273,165895,1249134,7500,229687,942,1665834,148,2254137,114688,979,416907,960738,20266,4581847,15695,101892,176343,238438,4789,1637,5173965,14842,6355
"11101111010110110001",12692,46404,1022800,45044,7164,2391251,181,8688,475709,4805668,106014,50098,36884,49107,1836954,142351,100176,5894,267020,28181,3154,30434,6123,21727,1256004,8340,108,160901,654292,2732376
"01110001000010001100",2,0,28,0,0,0,0,0,0,0,205,0,0,0,0,0,2512,0,0,21,0,0,0,557045,76,30,0,0,0,1837
"10101010101110110000",1172,13956,256248,12314,102916,8720415,20410,18770,8475,548731,80512,10143,362702,6011,473439,209805,2413,75480,368167,9068,154375,1091329,1851,60264,874525,1862,236872,84530,5523891,305036
"10111001011001010101",3,0,50,0,0,0,0,0,0,0,1043,0,0,0,0,0,492,0,0,635,0,0,0,1582,2237,20,0,0,4,2453
"01111111101001111101",12310,0,4878,0,0,0,0,3,26,0,2867378,0,99,0,55,0,689564,1,36,61047,0,0,0,694,1268,0,0,4,257,20
"00100110011010111001",1639,3335,282248,2812,447,9384,4649,48578,3111,16598127,54353,591371,172,105,982425,701045,1758123,1619897,2281,2250200,87,25759,1264029,24571,561995,257834,7490,1710510,10599,388380
"10111001011110000000",301,1,285,7443,8417,10,2,3,4,28,30,0,0,1,51,106,8,794,0,452,5,8,3,23408,68874,3827296,891,0,472,10519629
"01011100011110011000",6009869,749949,19417,7329,243154,96220,9028,203534,21584,3368048,5280,19040,1935,713326,6660987,4824489,265282,55181,3856,891307,342,21751,42434,854007,16710,32520,4168,7183,8148,2649106
"01100010001011101011",1045,9896,256418,15751,237,4054,203403,2639271,6321,4867,275609,28598,8064,135,908495,10280,5685279,902981,12456,182473,19528,142761,890371,11875,876022,451078,72164,292906,50517,194013
"01001010001100110110",67593,39423,15708,21980,50398,237119,25140,2722,37741,16250,659009,44586,985234,3479,559715,5426,12599,141421,1772946,80855,8360,77918,19228,5001164,435649,13874,4935356,716,766434,144414
"01111001001011010011",13,0,381,3425,295,2,3,1,350,2,679,3,1,0,4446,3,7868,1982,73,3689,1,9,21,7602,21762,47491,2,0,1099,6062602
"10001001110001100101",13142,3472097,183124,1909720,1558124,8560,37135,69051,127316,52822,398641,13410,6502418,1128,27336,135777,226,126927,1269415,14186,51920,6764,114252,5076,865865,24612,6224,1399291,91679,56441
"00011010111101011011",312256,32630,4427,645197,66885,81116,7881654,51527,2651,864384,913268,6187,30920,1830,654291,106734,1059154,2514255,17292,636360,22223,290422,830,21819,144387,179141,12117,68443,106705,160440
"11010111111000010111",380,0,23,1967,1220,3,148,0,2709,1,14428,1,12,0,160,2,63,17696,95,204,56,0,9,678891,32094,47335,10,40,98,3508
"10010101100001000101",316,120,107,904,8627,0,10,1,316,1,467,0,10,0,6,7,124,24745,21,133,85,2,307,315217,50848,364481,25,392,25,16053
"11001101110111000101",2861,169,191,108496,6022,36,2,5,53,187,520,0,28,0,31,255,319,5790,153,26,1,1,8,812198,188078,54125,1,11,145,402444
"01010011011100001000",11614,4,6,112,17,8,137,142,1,1,267,0,0,3,137,50,1500,85057,0,55,7,2,4,2708085,6075,19867132,10079,2,57,123327
"01101011000111010101",3,0,239,0,0,0,0,0,0,0,1320,0,0,0,0,0,410946,0,0,11,0,0,0,498556,2172,1,0,0,2,5851
"11110011011100101101",27749,0,28639,0,0,0,2,3,6,0,30795,0,32,0,9,0,50677,0,0,11953,0,0,0,37501,32003,88,95,1,23,58
"00001100010000010110",31295,125589,22141,23495,1160942,13739,32802,1558,222756,542595,1105317,15808538,590141,14411,23404,18655,11257,77309,679197,1067618,851,231005,848751,236076,81333,22898,73916,2922,21880,1123622
"00111101100101010000",354,8,11,2713,1880,86,1,1,2,18,1139,0,1,15,12,50,4180,9781,35,215,4,225,2,17923,13480,133319,10,2,8530,4228608
"01001011101110001110",369,2,17,2839,684,2776,55,51,2,2,4423,0,10,1,23,18,55,32892,46,61,20,2,1,3007725,21940,20335,28500,0,161,44424
"10100001001100001011",4,0,117,9996,132,7,341,1,7,1,70,0,0,5,16,2,1199,595,0,1944,2,3,7,94422,1502633,3618137,395730,0,1760,583288
"01000001011011001110",66,2,40,12142,69,0,233,325,0,1,801,1,2,0,61,11,877,128076,3,335,0,2,1251,127940,28348,3500822,1210,0,61,421577
"11100000100111110101",101,0,115447,0,0,0,1,0,16,0,19697,0,21619,0,22,0,3129422,1,329,294,0,0,0,643268,71580,0,0,1,468,725
"10010100000000100100",46901,8420183,42061,482,1803748,126,2286,6399,538496,4508,30520,15521,245380,70438,14186,60584,468,150609,35062,96570,301766,25730,29609962,1087065,169671,804832,1139217,699063,4194,76281
"11010011001010101111",7472,96475,390965,5234,41773,2684,24146,125350,1075596,600,59952,7139,79169,3402,1171468,5952,1211,109730,55305,208200,585314,741,1110858,141659,347893,96303,374624,178950,1913,8347
"11111010111000011101",4473,0,40771,0,0,0,55,2,502,0,1360084,0,2526,0,81,0,28275,0,2,36070,0,0,0,30800,2513,0,2,3,104,22
"01100101100111011000",27,2,48,419,8,716,8,105,0,11,209,0,1,18,60,325,259055,35872,16,26,0,91,25,219418,27075,37655,6,6,3744,2151803
"00110110100010111111",31,0,2543,0,0,0,0,0,15,0,2587993,0,169,0,2,0,1620502,55,43,73093,0,0,0,39285,2261,3,2,3,2,195
"00111010010111100100",11926,0,10001,0,0,0,0,3,0,0,351621,0,217,0,1,0,214278,30,1,5934,0,0,0,12041,4646,684,3,0,22,15795
"11001000101101000111",743861,623554,186139,4362102,4228080,71145,3919403,17532,689287,2409,79984,2865,6929130,24007,132971,4077,12856,6165,1809522,39467,144175,48172,3015,838738,2952012,2486,120964,14285,194181,16870
"10000001101110111010",292,13049,9839,94964,367515,671596,766540,108470,2813,77244,14891,5860,391403,119758,373788,74477,2984,152214,433671,9165,23102,9803,27340,43130,395850,10604,3916023,13129,800381,150492
"00010101111100000010",11146,2,0,18892,40488,2,159,2,1,22,642,0,0,1,2,11,170,48552,2,85,12,1,3,242508,8817,13284245,1638,1,21,152729
"11001100000000011000",10680,1942458,38895,262,59446,356570,130209,152765,4513479,11921,202576,12200,1472205,106071825,2756477,119125,47270,3265,30351,76350,43136,498825,159404,376657,30763,478,248003,160798,1129796,379094
"01101010001011010011",3416,3079,2731979,17161,3225,126058,134544,29810,474397,33128,413527,223666,80097,354,9915493,866,5073411,28318,394351,353063,11971,2269904,16421,14565,307989,1309,831,25487,349170,561048
"11010100110101010011",467673,272607,9020,192808,372098,7220,3456877,13775,938552,69144,149132,16733,782389,104482,390199,61695,2528576,126319,357643,12804,99551,135686,24691,328359,287043,96316,49,627602,90506,231458
"00000101110101001011",276,5,1,101302,280,3,590,17,0,140,2851,0,1,1,2,45,69189,264266,2,136,0,2,14,71417,84758,17283159,201,7,108,547481
"00000101011111001001",1655,8,43,28776,95,0,11,14,0,2706,15,0,0,0,95,82,103203,96458,0,1297,0,0,69,160906,116946,22648587,110,6,16,1263600
"11000110001101110011",36041,61582,15878,132184,7111,4739,347248,2668,148782,58008,245763,252,134380,3659,4363657,472,5341122,104467,218738,27108,20191,91284,29676,292880,2725331,115707,37043,296542,3610808,65779
"11110011001000011011",2,0,152,65,5,8,268,2,837,0,2728,0,2,2,1575,1,1945,1931,1,1505,70,13,11,53676,63855,159529,1668,7,3828,94850
"01101001011110011001",62,0,490,4118,18,275,2,5,4,327,41,4,0,1,2271,1522,10508,1812,1,3036,0,1,3,295774,114228,65210,35,0,711,11666040
"11101100010101001100",55691,1,8145,1,0,0,6,21,2,0,261690,0,1381,0,1,0,1072448,0,0,11924,0,1,0,15476,16232,9,26,0,1049,3628
"10101011010100011110",0,0,2,0,0,0,0,0,0,0,66971,0,0,0,0,0,684,0,0,49,0,0,0,15095,3658,52,22,0,72,10133
"00001101101111110101",244080,817061,220309,2639385,2294512,90337,288,1472,7490,17192667,6816,7195,17597,724,407481,93648,42255,156557,12279668,279256,78,1386,27900,78156,896579,1377,627,52464,33057,103971
"11100111001011001001",24,2,1612,500,2,6,17,79,24,1,409,0,0,0,646,1,30455,3027,0,310,5,16,45,14369,156662,176874,66,193,903,71933
"01111011011000011010",25,0,9,564,16,51,71,24,16,0,46931,3,1,1,464,12,413,8506,1,2287,8,47,3,5441,4662,433516,1035,0,5919,1462618
"00001011110110110101",21799,90690,339284,48374,102389,2565088,792,3732,11505,31343916,106783,615643,199771,244,120195,1200083,5119,1783587,3856608,18251,1327,3297,10522,733110,433039,5250,923,83281,7187,191553
"10011111000111011011",12,6,15,2225,201,13,3,0,23,265,3961,0,2,3,645,5,17748,27330,7,1987,11,35,9,23868,52959,1068266,49,3,3001,5406077
"01110101001001011011",40,0,26,2072,18,0,27,3,55,0,936,0,0,1,685,2,209343,4762,2,15227,0,6,123,8883,33412,661430,26,3,1092,630674
"01001101000100000000",5295,102,9,233,1558,83,1,4,63,8,448,0,2,436,34,12,1209,882,5,26,3,3,4,4553506,7913,108212,2247,0,434,1429906
"01100110100100101001",90453,178785,30848,1533,922,841301,26232,588141,14631,47692,190004,15622,5371,426800,20319,915776,4063563,422949,11842,14431,53636,40298,28384,1472802,704971,77118,58122,3494948,21367,35316
"00011011110110011011",21,0,4,957,301,341,24,2,5,1402,8366,7,3,0,117,827,1669,560626,12,343,8,2,1,245024,8986,527073,28,1,64,2458595
"00001101001111000111",1358,9,105,299710,13568,1,1,0,4,378,147,0,0,0,23,1,2242,6066,58,6540,0,1,29,256440,317169,743396,384,0,40,1055932
